Insect_Order,Insect_Family,Insect_GenusNames,Insect_SpeciesNames,Author,Number_PlantGenus,Plant_GenusNames,Number_PlantSpecies,Plant_SpeciesNames,Plant Part/s ,Feeding Guild,Record_Infestation,Literature,
Coleoptera,Curculionidae,Alcidodes,Alcidodes curranae,"Lyal in Lyal & Curran, 2000",3,Dipterocarpus / Dryobalanops / Richetia,12,Dipterocarpus pachyphyllus / Dipterocarpus geniculatus / Dipterocarpus palembanicus / Dipterocarpus tempehes / Dryobalanops aromatica / Dryobalanops lanceolata / Richetia laxa / Dipterocarpus sublamellatus / Dipterocarpus hasseltii / Dipterocarpus costulatus / Dipterocarpus caudiferus / Dipterocarpus stellatus,Seeds (pre-dispersal),Seed Feeder,Indonesia / Malaysia ,Lyal & Curran (2000),
Lepidoptera,Pyralidae,Lamoria,Lamoria adaptella,"Walker, 1863",5,Dipterocarpus / Dryobalanops / Neobalanocarpus / Rubroshorea / Shorea,12,Dryobalanops aromatica / Dryobalanops lanceolata / Shorea falciferoides / Rubroshorea parvifolia / Rubroshorea scabrida / Dipterocarpus pachyphyllus / Rubroshorea leprosula / Neobalanocarpus heimii / Rubroshorea macroptera / Rubroshorea curtisii / Rubroshorea kunstleri / Dipterocarpus fagineus,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,"Hosaka et al. (2009), Nakagawa et al. (2003)",
Coleoptera,Curculionidae,Alcidodes,Alcidodes spp.,,6,Anthoshorea / Dipterocarpus / Dryobalanops / Parashorea / Rubroshorea / Shorea,10,Dipterocarpus crinitus / Dryobalanops aromatica / Dryobalanops lanceolata / Shorea falciferoides / Rubroshorea curtisii / Parashorea stellata / Anthoshorea gratissima / Anthoshorea roxburghii / Anthoshorea bracteolata / Dipterocarpus grandiflorus,Fruits / Seeds,Fruit Feeder / Seed Feeder,Thailand / Malaysia,"Basset et al. (2019), Iku et al. (2018)",
Coleoptera,Curculionidae,Coccotrypes,Coccotrypes papuanus,"Wood & Bright, 1992",4,Dipterocarpus / Dryobalanops / Rubroshorea / Shorea,10,Dipterocarpus tempehes / Dryobalanops aromatica / Dryobalanops lanceolata / Shorea falciferoides / Rubroshorea parvifolia / Rubroshorea scabrida / Dipterocarpus geniculatus / Dipterocarpus globosus / Shorea laevis / Rubroshorea platyclados,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Coccotrypes,Coccotrypes cinnamomi ,"(Eggers, 1936)",4,Anthoshorea / Dipterocarpus / Dryobalanops / Rubroshorea,9,Anthoshorea bracteolata / Dipterocarpus palembanicus / Dryobalanops aromatica / Dryobalanops lanceolata / Dryobalanops oblongifolia / Rubroshorea acuminata / Rubroshorea parvifolia / Rubroshorea macrophylla / Rubroshorea platyclados,Fruits (post-dispersal) / Seeds,Fruit Feeder / Seed Feeder,Malaysia,"Nakagawa et al. (2003, 2005)",
Coleoptera,Curculionidae,Niphades,Niphades sp.,,3,Dipterocarpus / Dryobalanops / Rubroshorea,9,Dipterocarpus tempehes / Dryobalanops aromatica / Dipterocarpus pachyphyllus / Dipterocarpus geniculatus / Rubroshorea smithiana / Dipterocarpus stellatus / Dipterocarpus validus / Dipterocarpus sublamellatus / Dipterocarpus hasseltii / ,Seeds (pre-dispersal),Seed Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Orchestes,Orchestes sp.,,4,Dipterocarpus / Dryobalanops / Richetia / Rubroshorea / Shorea,9,Dipterocarpus geniculatus / Dipterocarpus globosus / Dipterocarpus palembanicus / Dipterocarpus tempehes / Dryobalanops aromatica / Shorea falciferoides / Rubroshorea parvifolia / Rubroshorea smithiana / Richetia xanthophylla,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Alcidodes,Alcidodes crassus,"(Pascoe, 1882)",4,Dipterocarpus / Dryobalanops / Hopea / Shorea,8,Dipterocarpus dyeri / Dryobalanops oblongifolia / Dryobalanops aromatica / Hopea sp. / Shorea guiso / Dipterocarpus cornutus / Dipterocarpus grandiflorus / Dipterocarpus retusus,Seeds,Seed Feeder,Indonesia / Malaysia,"Nakagawa et al. (2005), Lyal & Curran (2000)",
Coleoptera,Curculionidae,Alcidodes,Alcidodes hopeae,"Marshall, 1926",2,Hopea / Anthoshorea,8,Hopea dryobalanoides / Hopea dyeri / Hopea ferruginea / Hopea latifolia / Hopea sangal / Hopea mengarawan / Anthoshorea agamii / Anthoshorea assamica,Fruits / Seeds,Fruit Feeder / Seed Feeder,Indonesia / Malaysia,"Lyal & Curran (2000), Toy (1988)",
Coleoptera,Curculionidae,Alcidodes,Alcidodes hoplomachus,"Lyal in Lyal & Curran, 2000",1,Dipterocarpus,8,Dipterocarpus gracilis or D. validus / Dipterocarpus grandiflorus / Dipterocarpus caudiferus / Dipterocarpus coriaceus / Dipterocarpus hasseltii / Dipterocarpus sublamellatus / Dipterocarpus stellatus / Dipterocarpus tempehes ,Seeds (pre-dispersal),Seed Feeder,Philippines / Thailand / Laos / Vietnam / Malaysia / Indonesia,"Lyal & Curran (2000), Morimoto & Raros (1977)",
Coleoptera,Curculionidae,Alcidodes,Alcidodes toyi,"Lyal in Lyal & Curran, 2000",4,Anthoshorea / Dipterocarpus / Dryobalanops / Shorea,8,Dipterocarpus tempehes / Dryobalanops aromatica / Dryobalanops lanceolata / Shorea falciferoides / Anthoshorea agamii / Dryobalanops beccarii / Dryobalanops keithii / Dryobalanops oblongifolia,Fruits / Seeds (pre-dispersal),Fruit Feeder / Seed Feeder,Malaysia,"Lyal & Curran (2000), Nakagawa et al. (2003), Daljeet-Singh (1974)",
Coleoptera,Curculionidae,Alcidodes,Alcidodes curvirostris,"Lyal in Lyal & Curran, 2000",4,Anthoshorea / Dipterocarpus / Rubroshorea / Shorea,7,Anthoshorea lamellata / Rubroshorea macroptera / Shorea obtusa / Anthoshorea virescens / Dipterocarpus baudii / Anthoshorea assamica / Anthoshorea gratissima,Seeds (pre-dispersal),Seed Feeder,Indonesia / Malaysia / Thailand,Lyal & Curran (2000),
Coleoptera,Nanophyidae,Damnux,Damnux dipterocarpi,(Marshall 1932),2,Dipterocarpus / Rubroshorea,7,Dipterocarpus stellatus / Rubroshorea kunstleri / Dipterocarpus hasselti / Dipterocarpus geniculatus / Dipterocarpus costulatus / Dipterocarpus cornutus / Dipterocarpus retusus,Fruits / Seeds,Fruit Feeder / Seed Feeder,Indonesia / Malaysia,"Lyal & Curran (2003), Toy (1998), Nakagawa et al. (2003), Kalshoven",
Lepidoptera,Erebidae,Calliteara,Calliteara cerigoides,(Walker 1862),3,Anthoshorea / Hopea / Rubroshorea,7,Hopea odorata / Anthoshorea javanica / Hopea mengarawan / Rubroshorea stenoptera / Rubroshorea pinanga / Rubroshorea leprosula / Rubroshorea selanica,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Andrioplecta,Andrioplecta subpulverula,"(Obraztsov, 1968)",4,Dipterocarpus / Dryobalanops / Parashorea / Shorea,7,Dryobalanops aromatica / Dryobalanops lanceolata / Shorea falciferoides / Dipterocarpus geniculatus / Dipterocarpus tempehes / Dipterocarpus grandiflorus / Parashorea densiflora,Fruits / Seeds,Fruit Feeder / Seed Feeder,Thailand,Basset et al. (2019),
Coleoptera,Anthribidae,Araecerus,Araecerus corporaali ,"Jordan, 1924",2,Dipterocarpus / Rubroshorea,6,Dipterocarpus pachyphyllus / Dipterocarpus geniculatus / Dipterocarpus palembanicus / Dipterocarpus tempehes / Rubroshorea smithiana / Rubroshorea macrophylla,Seeds,Seed Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Alcidodes,Alcidodes gonzoi,"Lyal in Lyal & Curran, 2000",1,Hopea,6,Hopea dryobalanoides / Hopea dyeri / Hopea ferruginea / Hopea latifolia / Hopea mengarawan / Hopea sangal,Seeds (pre-dispersal),Seed Feeder,Indonesia / Malaysia,"Lyal & Curran (2000), Nakagawa et al. (2005)",
Coleoptera,Curculionidae,Imathia,Imathia sp.,,3,Dipterocarpus / Dryobalanops / Rubroshorea,6,Dipterocarpus pachyphyllus / Dipterocarpus globosus / Dipterocarpus palembanicus / Rubroshorea macrophylla / Dryobalanops lanceolata / Dryobalanops aromatica,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Nanophyidae,Ctenomerus,Ctenomerus spp.,,4,Dipterocarpus / Dryobalanops / Rubroshorea / Shorea,6,Dipterocarpus crinitus / Dryobalanops aromatica / Shorea falciferoides / Rubroshorea parvifolia / Dipterocarpus pachyphyllus / Rubroshorea smithiana,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Lepidoptera,Erebidae,Orgyia ,Orgyia turbata,"(Butler, 1879)",3,Anthoshorea / Rubroshorea / Shorea,6,Shorea kudatensis / Rubroshorea mecistopteryx / Anthoshorea symingtonii / Rubroshorea waltonii / Rubroshorea hemsleyana / Hopea odorata,Leaves,Defoliator,Malaysia / Thailand,Chung et al. (2013),
Lepidoptera,Sesiidae,Synanthedon,Synanthedon nautica,"(Meyrick, 1932)",4,Dipterocarpus / Neobalanocarpus / Parashorea / Shorea,6,Neobalanocarpus heimii / Dipterocarpus grandiflorus / Parashorea densiflora / Dipterocarpus baudii / Dipterocarpus gracilis / Shorea sp.,Fruits / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Hosaka et al. (2009),
Lepidoptera,Stathmophodidae,Hieromantis,Hieromantis sp.,,1,Rubroshorea,6,Rubroshorea acuminata / Rubroshorea leprosula / Rubroshorea macroptera / Rubroshorea parvifolia / Rubroshorea lepidota / Shorea maxwelliana,Fruits,Fruit Feeder,Malaysia,Hosaka et al. (2009),
Coleoptera,Anthribidae,Phloeobius,Phloebius sp.,,4,Dipterocarpus / Dryobalanops / Rubroshorea / Shorea,5,Dipterocarpus tempehes / Dryobalanops aromatica / Dryobalanops lanceolata / Shorea falciferoides / Rubroshorea parvifolia,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Alcidodes,Alcidodes vaticus,"Lyal in Lyal & Curran, 2000",2,Hopea / Vatica,5,Hopea dryobalanoides / Vatica bella / Vatica granulata / Vatica umbonata / Vatica oblongifolia,Seeds (pre-dispersal),Seed Feeder,Malaysia / Indonesia / Philippines,Lyal & Curran (2000),
Coleoptera,Curculionidae,Coccotrypes,Coccotrypes medius,"Wood & Bright, 1992",2,Anthoshorea / Dryobalanops / Rubroshorea,5,Dryobalanops aromatica / Anthoshorea bracteolata / Rubroshorea leprosula / Rubroshorea macrophylla / Anthoshorea resinosa,Fruits (post-dispersal) / Seeds,Fruit Feeder,Malaysia,Daljeet-Singh (1974),
Coleoptera,Curculionidae,Coccotrypes,Coccotrypes variabilis,"Wood & Bright, 1992",4,Dipterocarpus / Dryobalanops / Hopea / Rubroshorea,5,Dipterocarpus cornutus / Rubroshorea kunstleri / Dryobalanops oblongifolia / Hopea dryobalanoides / Rubroshorea pauciflora / ,Fruits (post-dispersal) / Seeds,Fruit Feeder / Seed Feeder,Malaysia,Browne et al. (1961),
Coleoptera,Nanophyidae,Damnux,Damnux sp.,,1,Dipterocarpus,5,Dipterocarpus cornutus / Dipterocarpus globosus / Dipterocarpus crinitus / Dipterocarpus tempehes / Dipterocarpus palembanicus,Fruits,Fruit Feeder,Malaysia,"Hosaka et al. (2009), Iku et al. (2018)",
Coleoptera,Nanophyidae,Damnux,Damnux tenebriosa,"Lyal in Lyal & Curran, 2003",2,Dipterocarpus / Rubroshorea,5,Dipterocarpus cornutus / Dipterocarpus grandiflorus / Rubroshorea kunstleri / Dipterocarpus stellatus / Dipterocarpus sublamellatus,Fruits / Seeds (pre-dispersal),Fruit Feeder / Seed Feeder,Malaysia / Indonesia,"Hosaka et al. (2009), Lyal & Curran (2003)",
Hymenoptera,Apidae,Lepidotrigona,Lepidotrigona ventralis,"(Smith, 1857)",4,Anthoshorea / Rubroshorea / Shorea / Vatica,5,Shorea exelliptica / Anthoshorea agamii / Anthoshorea confusa / Rubroshorea argentifolia / Vatica odorata,Resin,Resin Feeders,Brunei,Chui et al. (2023),
Lepidoptera,Erebidae,Calliteara,Calliteara horsfieldii,"(Saunders, 1851)",5,Anthoshorea / Dipterocarpus / Hopea / Parashorea / Rubroshorea,5,Parashorea tomentella / Anthoshorea symingtonii / Hopea odorata / Dipterocarpus sp. / Rubroshorea argentifolia,Leaves,Defoliator,Malaysia / Thailand,Chung et al. (2013),
Lepidoptera,Erebidae,Dasychira,Dasychira sp.,,3,Anthoshorea / Rubroshorea / Shorea,5,Rubroshorea hemsleyana / Shorea sumatrana / Anthoshorea bracteolata / Rubroshorea leprosula / Rubroshorea macroptera,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Nolidae,Etanna,Etanna breviuscula,"(Walker, 1863)",4,Anthoshorea / Richetia / Rubroshorea / Shorea,5,Richetia acuminatissima / Shorea aregentifolia / Richetia gibbosa / Rubroshorea parvifolia / Anthoshorea symingtonii,Flowers,Florivore,Malaysia,Chung et al. (2011),
Lepidoptera,Psychidae,Pteroma,Pteroma plagiophleps,"(Hampson, 1892)",3,Anisoptera / Rubroshorea / Shorea,5,Rubroshorea leprosula / Rubroshorea balangeran / Rubroshorea macrophylla / Rubroshorea stenoptera / Anisoptera sp.,Leaves,Defoliator,Indonesia,"Lelana et al. (2022), Budiman et al. (2020), Oramahi & Wulandari (2017)",
Lepidoptera,Pyralidae,Endotricha,Endotricha mesenterialis,"(Walker, 1859)",3,Anthoshorea / Dipterocarpus / Rubroshorea,5,Anthoshorea gratissima / Dipterocarpus cornutus / Dipterocarpus crinitus / Rubroshorea macroptera / Rubroshorea ovalis,Leaves / Fruits / Seeds,Fruit Feeder / Seed Feeder / Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Andrioplecta,Andrioplecta sp.,,2,Dipterocarpus / Rubroshorea,5,Dipterocarpus pachyphyllus / Rubroshorea smithiana / Rubroshorea macrophylla / Rubroshorea argentifolia / Dipterocarpus geniculatus,Fruits,Fruit Feeder,Malaysia,,
Lepidoptera,Tortricidae,Cydia,Cydia leucostoma,"(Meyrick, 1912)",2,Rubroshorea / Shorea,5,Rubroshorea macroptera / Shorea maxwelliana / Rubroshorea platyclados / Shorea seminis /  Rubroshorea parvifolia ,Seeds,Seed Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Tortricidae,Lobesia,Lobesia sp.,,3,Dipterocarpus / Hopea / Rubroshorea,5,Rubroshorea stenoptera / Dipterocarpus cornutus / Dipterocarpus crinitus / Rubroshorea kunstleri / Hopea ponga,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Coleoptera,Cerambycidae,Cyriopalus,Cyriopalus wallacei,"Pascoe, 1866",2,Richetia / Rubroshorea,4,Rubroshorea leprosula / Rubroshorea johorensis / Rubroshorea parvifolia / Richetia acuminatissima ,Wood,Wood Borer,Malaysia,Thapa (1968 & 1974),
Coleoptera,Curculionidae,Coccotrypes,Coccotrypes nitidus,"Wood & Bright, 1992",3,Anthoshorea / Dipterocarpus / Dryobalanops,4,Dipterocarpus tempehes / Dryobalanops aromatica / Anthoshorea confusa / Dipterocarpus kerrii,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Curculionidae,Idotasia,Idotasia sp.,,2,Dipterocarpus / Dryobalanops,4,Dryobalanops aromatica / Dipterocarpus pachyphyllus / Dipterocarpus palembanicus / Dryobalanops lanceolata,Fruits,Fruit Feeder,Malaysia,Nakagawa et al. (2003),
Coleoptera,Nanophyidae,Damnux,Damnux seminivorax,"Lyal in Lyal & Curran, 2003",1,Dipterocarpus,4,Dipterocarpus stellatus / Dipterocarpus sublamellatus / Dipterocarpus tempehes  / Dipterocarpus cornutus ,Seeds (pre-dispersal),Seed Feeder,Indonesia / Malaysia,Lyal & Curran (2003),
Hemiptera,Diaspididae,Aulacaspis,Aulacaspis calcarata,"Takagi, 1999",3,Dryobalanops / Rubshorea / Shorea,4,Dryobalanops aromatica / Rubroshorea bullata / Rubroshorea kunstleri / Shorea crassa,,Sap Suckers,Malaysia,Petrson et al. (2020),
Hymenoptera,Vespidae,Epsilon,Epsilon sp.,,3,Anthoshorea / Dipterocarpus / Rubroshorea,4,Anthoshorea confusa / Rubroshorea parvifolia / Dipterocarpus sp. / Anthoshorea confusa,Resin,Resin Feeders,Brunei,Chui et al. (2023),
Lepidoptera,Crambidae,Piletocera,Piletocera sp.,,3, Hopea / Richetia / Rubroshorea,4,Rubroshorea kunstleri / Hopea ponga / Richetia longisperma / Rubroshorea macroptera,Fruits,Fruit Feeder,Malaysia,Robinson et al. (2025),
Lepidoptera,Erebidae,Arctornis,Arctornis sp.,,4,Neobalanocarpus / Richetia / Rubroshorea / Shorea,4,Neobalanocarpus heimii / Richetia coriacea / Shorea sumatrana / Rubroshorea ovalis / ,Leaves,Defoliator,Malaysia,Robinson et al. (2025),
Lepidoptera,Erebidae,Olene,Olene mendosa,"Hübner, 1823",3,Dipterocarpus / Rubroshorea / Shorea,4,Rubroshorea waltonii / Shorea kudatensis / Rubroshorea ovalis /  Dipterocarpus tuberculatus,Flowers / Leaves,Defoliator / Florivore,Malaysia / Thailand,"Chung et al. (2013), Ong et al. (2020)",
Phasmatodea,Heteropterygidae,Haaniella,Haaniella echinata,"(Redtenbacher, 1906)",4,Dryobalanops / Hopea / Parashorea / Rubroshorea,4,Dryobalanops lanceolata / Rubroshorea smithiana / Hopea nervosa / Parashorea malaanonan,Leaves,Defoliator,Malaysia,"Blüthgen et al. (2006), Junker et al. (2008)",
Coleoptera,Cerambycidae,Hoplocerambyx,Hoplocerambyx spinicornis,"(Newman, 1842)",3,Dryobalanops / Parashorea / Pentacme,3,Dryobalanops lanceolata / Parashorea malaanonan / Pentacme contorta,Wood,Wood Borer,Philippines,Morimoto & Raros (1977),
